method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
MOPCGM,a8a.t,4,123,9865,true,2427,4854,3.080849300,9.980154e-12,0.742321
CGPM,a8a.t,4,123,9865,true,629,1414,0.506123500,9.867160e-12,0.742321
STTDFPM,a8a.t,4,123,9865,true,134,380,0.235802300,9.325070e-12,0.742321
SOPP,a8a.t,5,123,9865,true,290,581,0.268386200,9.741946e-12,0.742321
SDLP,a8a.t,5,123,9865,true,156,312,0.095095900,9.917803e-12,0.742321
MOPCGM,a8a.t,5,123,9865,true,2443,4886,1.546918200,9.956503e-12,0.742321
CGPM,a8a.t,5,123,9865,true,608,1363,0.381013800,9.968595e-12,0.742321
STTDFPM,a8a.t,5,123,9865,true,144,408,0.111920000,9.471430e-12,0.742321
SOPP,a9a.t,1,123,16281,true,293,587,0.524513200,9.747272e-12,0.730545
SDLP,a9a.t,1,123,16281,true,158,316,0.382282800,9.648145e-12,0.730545
MOPCGM,a9a.t,1,123,16281,true,2469,4938,5.204284000,9.958504e-12,0.730545
CGPM,a9a.t,1,123,16281,true,650,1467,1.159959900,9.845252e-12,0.730545
STTDFPM,a9a.t,1,123,16281,true,156,433,0.426565300,9.066034e-12,0.730545
SOPP,a9a.t,2,123,16281,true,290,580,0.430552000,9.754112e-12,0.730545
SDLP,a9a.t,2,123,16281,true,155,311,0.263793600,9.690341e-12,0.730545
MOPCGM,a9a.t,2,123,16281,true,2438,4876,4.018449600,9.982567e-12,0.730545
CGPM,a9a.t,2,123,16281,true,650,1462,1.139332900,9.414512e-12,0.730545
STTDFPM,a9a.t,2,123,16281,true,156,435,0.320313400,8.517335e-12,0.730545
SOPP,a9a.t,3,123,16281,true,291,582,0.476393100,9.733929e-12,0.730545
SDLP,a9a.t,3,123,16281,true,156,313,0.220468000,9.380519e-12,0.730545
MOPCGM,a9a.t,3,123,16281,true,2447,4894,3.755431300,9.982119e-12,0.730545
CGPM,a9a.t,3,123,16281,true,647,1457,1.145582900,9.864183e-12,0.730545
STTDFPM,a9a.t,3,123,16281,true,145,419,0.331420000,9.447898e-12,0.730545
SOPP,a9a.t,4,123,16281,true,288,577,0.450183200,9.896414e-12,0.730545
SDLP,a9a.t,4,123,16281,true,155,310,0.240275600,9.312905e-12,0.730545
MOPCGM,a9a.t,4,123,16281,true,2427,4854,3.731077600,9.908123e-12,0.730545
CGPM,a9a.t,4,123,16281,true,637,1432,1.126759600,9.590422e-12,0.730545
STTDFPM,a9a.t,4,123,16281,true,148,424,0.304855200,8.366495e-12,0.730545
SOPP,a9a.t,5,123,16281,true,290,581,0.432342000,9.738769e-12,0.730545
SDLP,a9a.t,5,123,16281,true,156,312,0.224825600,9.912239e-12,0.730545
MOPCGM,a9a.t,5,123,16281,true,2443,4886,3.741547500,9.952305e-12,0.730545
CGPM,a9a.t,5,123,16281,true,617,1383,0.976233400,9.962219e-12,0.730545
STTDFPM,a9a.t,5,123,16281,true,149,421,0.290626300,9.038485e-12,0.730545
SOPP,colon-cancer,1,2000,62,true,2877,23416,1.423458400,9.918076e-12,1.000000
SDLP,colon-cancer,1,2000,62,true,1163,4758,0.276755700,9.786604e-12,1.000000
MOPCGM,colon-cancer,1,2000,62,false,627,1421,0.276712100,5.422506e+00,NaN
CGPM,colon-cancer,1,2000,62,true,4529,27343,1.750451100,9.840839e-12,1.000000
STTDFPM,colon-cancer,1,2000,62,true,1318,3753,0.237064100,9.957456e-12,1.000000
SOPP,colon-cancer,2,2000,62,true,2259,8494,0.771995600,9.960977e-12,1.000000
SDLP,colon-cancer,2,2000,62,true,1159,4692,0.317518500,9.989685e-12,1.000000
MOPCGM,colon-cancer,2,2000,62,true,3242,7286,0.476744500,9.980290e-12,1.000000
CGPM,colon-cancer,2,2000,62,false,5000,31762,2.123526600,1.509805e-10,NaN
STTDFPM,colon-cancer,2,2000,62,true,1225,3428,0.215673900,9.789142e-12,1.000000
SOPP,colon-cancer,3,2000,62,true,2127,7675,0.471850800,9.977849e-12,1.000000
SDLP,colon-cancer,3,2000,62,true,1164,4744,0.288939500,9.826403e-12,1.000000
MOPCGM,colon-cancer,3,2000,62,true,3087,8566,0.701102200,9.988439e-12,1.000000
CGPM,colon-cancer,3,2000,62,false,5000,31249,1.918127700,2.282473e-11,NaN
