method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,6,P6,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,18,36,7.7715611723760958e-12,0.0042164999999999998
SOPP,tau=0.1,tau,6,P6,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,19,41,4.2521541843143495e-12,0.0062068000000000002
SOPP,tau=0.1,tau,6,P6,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,252,587,9.9391621074638003e-12,0.097681500000000004
SOPP,tau=0.1,tau,6,P6,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,105,224,9.790531068439438e-12,0.028192700000000001
SOPP,tau=0.1,tau,8,P8,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,342,1202,9.8925825463056923e-12,0.1154753
SOPP,tau=0.1,tau,8,P8,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,267,857,8.378931979511759e-12,0.058690300000000001
SOPP,tau=0.1,tau,8,P8,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,166,520,9.5139440225081807e-12,0.034546
SOPP,tau=0.1,tau,8,P8,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,187,769,9.9337105260948289e-12,0.047550099999999998
SOPP,tau=0.1,tau,8,P8,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,174,711,6.4888359497387169e-12,0.20777309999999999
SOPP,tau=0.1,tau,8,P8,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,255,831,9.711357372432826e-12,0.093104800000000001
SOPP,tau=0.1,tau,8,P8,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,147,549,9.8646602668073139e-12,0.062400799999999999
SOPP,tau=0.1,tau,8,P8,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,281,1055,8.9751968859857209e-12,0.096867200000000001
SOPP,tau=0.1,tau,8,P8,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,404,4025,9.5350548601702893e-12,0.18031230000000001
SOPP,tau=0.1,tau,8,P8,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,258,1192,9.6348478790859793e-12,0.069312600000000002
SOPP,tau=0.1,tau,10,P10,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,1,17,36,5.5733195836182858e-12,0.065365599999999996
SOPP,tau=0.1,tau,10,P10,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,1,18,39,9.5701224722688494e-12,0.0087177000000000001
SOPP,tau=0.1,tau,10,P10,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,1,18,38,5.6621374255882984e-12,0.0040283000000000003
SOPP,tau=0.1,tau,10,P10,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,16,34,6.3060667798708891e-12,0.0058215000000000003
SOPP,tau=0.1,tau,10,P10,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,33,4.8849813083506888e-12,0.0047587000000000003
SOPP,tau=0.1,tau,10,P10,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,32,5.1070259132757201e-12,0.0043781999999999996
SOPP,tau=0.1,tau,10,P10,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,32,4.8849813083506888e-12,0.0052855999999999997
