method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time,tsel,srule
SDLP,srule=r2,srule,11,P11,10000,5.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,23,110,6.5589818775444607e-12,0.010705599999999999,,r2
SDLP,srule=r2,srule,11,P11,10000,1/k,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,26,71,6.5588366006916934e-12,0.0073026999999999996,,r2
SDLP,srule=r2,srule,11,P11,10000,k/n,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,22,65,5.9364023773712734e-12,0.0064811000000000001,,r2
SDLP,srule=r2,srule,12,P12,10000,0.4,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,13,52,9.8809849191638932e-12,0.0041022000000000003,,r2
SDLP,srule=r2,srule,12,P12,10000,0.5,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,14,55,4.7628567756419216e-12,0.0054951000000000002,,r2
SDLP,srule=r2,srule,12,P12,10000,0.6,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,60,5.0959236830294685e-12,0.0061745000000000003,,r2
SDLP,srule=r2,srule,12,P12,10000,0.8,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,16,64,3.8968828164342995e-12,0.0065379000000000001,,r2
SDLP,srule=r2,srule,12,P12,10000,1.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,16,64,8.4099394115355608e-12,0.0048935000000000003,,r2
SDLP,srule=r2,srule,12,P12,10000,1.1,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,17,67,5.8841820305133297e-12,0.0067139000000000001,,r2
SDLP,srule=r2,srule,12,P12,10000,2.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,17,66,9.0483176506950258e-12,0.0065566000000000001,,r2
